SalesID,Product,Region,Sales,Year
101,Product A,North,500,2022
102,Product B,East,600,2022
103,Product C,West Coast,700,2022
104,Product D,South,800,2022
105,Product E,Central,550,2022
106,Product A,North,650,2023
107,Product B,East,720,2023
108,Product C,West Coast,680,2023
109,Product D,South,900,2023
110,Product E,Central,620,2023
111,Product A,North,750,2024
112,Product B,East,580,2024
113,Product C,West Coast,820,2024
114,Product D,South,760,2024
115,Product E,Central,690,2024
116,Product A,North,880,2025
117,Product B,East,640,2025
118,Product C,West Coast,930,2025
119,Product D,South,710,2025
120,Product E,Central,850,2025
